Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3, C4, C6",0402,4,100n,C22435941
C8,0402,1,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,1N4148W,C917030
FB1,0805,1,120R,C2943443
J1,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioJack3,
"J2, J3, J4, J5",Jack_6.35mm_Neutrik_NRJ4HF_Horizontal,4,AudioJack2,
J6,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11,
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C3197899
"R1, R2",0603,2,5.1k,C2906874
R3,0603,1,10k,C317926
"R4, R5, R6, R7, R8",0603,5,100,C122970
"RV1, RV2, RV3, RV4",Potentiometer_Alps_RK09K_Single_Vertical,4,10k,
RV5,Potentiometer_Bourns_PTA4543_Single_Slide,1,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW3, SW4, SW6, SW8, SW9",SW_Cherry_MX_1.00u_PCB,16,SW_Push_45deg,
"SW2, SW5, SW7",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,3,RotaryEncoder_Switch_MP,
SW20,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
U1,Teensy41,1,Teensy4.1,
U2,4.0audioshield,1,Teensy4.0_AudioShield_REVD,
