Designator,Mid X,Mid Y,Rotation,Layer
C2,87.5,-54.34,90.0,bottom
C3,87.75,-46.36,90.0,bottom
C4,87.5,-57.34,90.0,bottom
C6,87.5,-60.34,270.0,bottom
C8,87.5,-63.34,90.0,bottom
D1,133.31875,-92.215,90.0,bottom
D10,133.31875,-149.365,90.0,bottom
D11,152.45,-130.3775,90.0,bottom
D12,152.36875,-149.365,90.0,bottom
D13,171.5,-130.3775,90.0,bottom
D14,171.41875,-149.365,90.0,bottom
D15,190.55,-130.3775,90.0,bottom
D16,190.46875,-149.365,90.0,bottom
D2,152.36875,-92.215,90.0,bottom
D3,171.41875,-92.215,90.0,bottom
D4,190.46875,-92.215,90.0,bottom
D5,133.31875,-111.265,90.0,bottom
D6,152.36875,-111.265,90.0,bottom
D7,171.41875,-111.265,90.0,bottom
D8,190.55,-111.265,90.0,bottom
D9,133.4,-130.3775,90.0,bottom
FB1,76.4,-83.34,90.0,top
H1,117.92,-27.435,0.0,top
H2,117.92,-59.185,0.0,top
H3,169.99,-27.435,0.0,top
H4,169.99,-59.185,0.0,top
H5,78.4,-28.74,0.0,top
H6,240.4,-28.74,0.0,top
H7,78.4,-153.74,0.0,top
H8,240.4,-153.74,0.0,top
J1,84.54,-142.34,90.0,top
J2,84.85,-128.155,180.0,top
J3,84.85,-109.155,180.0,top
J4,233.7,-67.755,0.0,top
J5,233.7,-85.555,0.0,top
J6,117.92,-43.31,180.0,top
J7,76.35,-92.67,270.0,top
R1,84.4,-91.09,0.0,top
R2,84.65,-94.59,0.0,top
R3,193.5,-146.34,270.0,top
R4,116.75,-76.09,90.0,top
R5,135.25,-75.34,90.0,top
R6,155.25,-74.84,90.0,top
R7,173.25,-73.84,90.0,top
R8,231.5,-154.59,0.0,top
RV1,125.025,-73.315,90.0,top
RV2,144.075,-73.315,90.0,top
RV3,163.125,-73.315,90.0,top
RV4,182.175,-73.315,90.0,top
RV5,224.5,-126.11,90.0,top
SW1,125.025,-87.775,0.0,top
SW10,163.125,-106.825,0.0,top
SW11,182.175,-106.825,0.0,top
SW12,125.025,-125.875,0.0,top
SW13,125.025,-144.925,0.0,top
SW14,144.075,-125.875,0.0,top
SW15,144.075,-144.925,0.0,top
SW16,163.125,-125.875,0.0,top
SW17,163.125,-144.925,0.0,top
SW18,182.175,-125.875,0.0,top
SW19,182.175,-144.925,0.0,top
SW2,204.25,-87.44,0.0,top
SW20,204.225,-144.925,0.0,top
SW3,144.075,-87.775,0.0,top
SW4,163.125,-87.775,0.0,top
SW5,204.25,-107.44,0.0,top
SW6,182.175,-87.775,0.0,top
SW7,204.25,-127.44,0.0,top
SW8,125.025,-106.825,0.0,top
SW9,144.075,-106.825,0.0,top
U1,97.68,-55.64,90.0,top
U2,198.19635,-43.34278,0.0,bottom
